name	lat	lon
Beaver Dam, KY	37.402	-86.876
Bedford, KY	38.593	-85.318
Bellevue, KY	39.106	-84.479
Benton, KY	36.857	-88.35
Berea, KY	37.569	-84.296
Bowling Green, KY	36.99	-86.444
Brownsville, KY	37.193	-86.268
Burlington, KY	39.028	-84.724
Calhoun, KY	37.539	-87.258
Carlisle, KY	38.312	-84.027
Carrollton, KY	38.681	-85.179
Clinton, KY	36.667	-88.993
Columbia, KY	37.103	-85.306
Covington, KY	39.084	-84.509
Cumberland, KY	36.978	-82.989
Danville, KY	37.646	-84.772
Dayton, KY	39.113	-84.473
Dixon, KY	37.518	-87.69
Edgewood, KY	39.019	-84.582
Elizabethtown, KY	37.694	-85.859
Elkton, KY	36.81	-87.154
Erlanger, KY	39.017	-84.601
Fern Creek, KY	38.16	-85.588
Florence, KY	38.999	-84.627
Fort Thomas, KY	39.075	-84.447
Frankfort, KY	38.201	-84.873
Franklin, KY	36.722	-86.577
Georgetown, KY	38.21	-84.559
Greenville, KY	37.201	-87.179
Henderson, KY	37.836	-87.59
Highland Park, KY	38.185	-85.753
Highview, KY	38.143	-85.624
Hopkinsville, KY	36.866	-87.489
Independence, KY	38.943	-84.544
Irvine, KY	37.701	-83.974
Irvington, KY	37.88	-86.284
Jackson, KY	37.553	-83.384
Jackson, KY	37.825	-84.871
Jamestown, KY	36.985	-85.063
Jeffersontown, KY	38.194	-85.564
Jeffersonville, KY	37.974	-83.842
Junction City, KY	37.587	-84.794
La Grange, KY	38.408	-85.379
Lancaster, KY	37.62	-84.578
Lebanon, KY	37.57	-85.253
Lexington, KY	37.989	-84.478
Lexington-Fayette, KY	38.05	-84.459
Liberty, KY	37.318	-84.939
Liberty, KY	36.888	-87.193
Louisville, KY	38.254	-85.759
Ludlow, KY	39.093	-84.547
Madisonville, KY	37.328	-87.499
Manchester, KY	37.154	-83.762
Marion, KY	37.333	-88.081
Middletown, KY	38.245	-85.539
Mount Vernon, KY	38.026	-84.495
Mount Vernon, KY	37.353	-84.34
Murray, KY	36.61	-88.315
New Castle, KY	38.433	-85.17
Newburg, KY	38.16	-85.66
Newport, KY	39.091	-84.496
Nicholasville, KY	37.881	-84.573
Northfield, KY	38.287	-85.641
Oak Grove, KY	36.665	-87.443
Oak Grove, KY	37.344	-86.755
Okolona, KY	38.141	-85.688
Owensboro, KY	37.774	-87.113
Pleasure Ridge Park, KY	38.145	-85.858
Princeton, KY	37.109	-87.882
Providence, KY	38.575	-85.221
Providence, KY	37.398	-87.763
Radcliff, KY	37.84	-85.949
Richmond, KY	37.748	-84.295
Rome, KY	37.721	-87.181
Russellville, KY	36.845	-86.887
Saint Matthews, KY	38.253	-85.656
Shelbyville, KY	38.212	-85.224
Shively, KY	38.2	-85.823
Simpsonville, KY	38.223	-85.355
Somerset, KY	37.092	-84.604
Southgate, KY	39.072	-84.473
Springfield, KY	37.685	-85.222
Stanton, KY	37.846	-83.858
Sylvania, KY	38.157	-85.874
Taylorsville, KY	38.032	-85.342
Union, KY	38.946	-84.68
Valley Station, KY	38.111	-85.87
Williamstown, KY	38.638	-84.561
Winchester, KY	37.99	-84.18
Albany, LA	30.504	-90.582
Alexandria, LA	31.311	-92.445
Arcadia, LA	32.549	-92.92
Avondale, LA	29.913	-90.204
Baldwin, LA	29.838	-91.544
Baton Rouge, LA	30.451	-91.155
Bayou Cane, LA	29.624	-90.751
Bedford, LA	32.241	-91.015
Bellaire, LA	32.487	-93.673
Benton, LA	32.695	-93.742
Bossier City, LA	32.516	-93.732
Boston, LA	29.883	-92.056
Brownsville, LA	32.487	-92.154
Central, LA	30.554	-91.037
Chalmette, LA	29.943	-89.963
Clinton, LA	30.866	-91.016
Columbia, LA	32.105	-92.078
Covington, LA	30.475	-90.101
Estelle, LA	29.846	-90.107
Franklin, LA	29.796	-91.502
Greenwood, LA	32.443	-93.973
Greenwood, LA	30.545	-91.107
Gretna, LA	29.915	-90.054
Hammond, LA	30.504	-90.461
Harvey, LA	29.904	-90.077
Henderson, LA	30.313	-91.79
Houma, LA	29.596	-90.72
Independence, LA	30.635	-90.501
Jackson, LA	30.837	-91.218
Jonesboro, LA	32.241	-92.716
Kenner, LA	29.994	-90.242
Kentwood, LA	30.938	-90.509
Lafayette, LA	30.224	-92.02
Lake Charles, LA	30.213	-93.204
Laplace, LA	30.067	-90.48
Livingston, LA	30.502	-90.748
Livonia, LA	30.559	-91.556
Lockport, LA	29.646	-90.539
Logansport, LA	31.975	-93.998
Mansfield, LA	32.038	-93.7
Marrero, LA	29.899	-90.1
Melville, LA	30.693	-91.744
Metairie, LA	29.984	-90.153
Metairie Terrace, LA	29.979	-90.164
Milton, LA	30.104	-92.077
Monroe, LA	32.509	-92.119
Natchitoches, LA	31.761	-93.086
New Iberia, LA	30.004	-91.819
New Orleans, LA	29.955	-90.075
Norco, LA	29.999	-90.412
Oak Grove, LA	32.861	-91.388
Oakdale, LA	30.816	-92.66
Oakdale, 	30.805	-92.622
Opelousas, LA	30.534	-92.082
Patterson, LA	29.693	-91.302
Pearl River, LA	30.376	-89.748
Prairieville, LA	30.303	-90.972
Ruston, LA	32.523	-92.638
Saint Joseph, LA	31.918	-91.233
Seabrook, LA	30.032	-90.013
Seabrook, 	30.029	-90.026
Shenandoah, LA	30.401	-91.001
Shreveport, LA	32.525	-93.75
Slidell, LA	30.275	-89.781
Sulphur, LA	30.237	-93.377
Sunset, LA	30.411	-92.068
Terrytown, LA	29.91	-90.033
Walker, LA	30.488	-90.861
Westlake, LA	30.242	-93.251
Westminster, LA	30.414	-91.088
Woodmere, LA	29.858	-90.08
Aberdeen, MD	39.51	-76.164
Adelphi, MD	39.003	-76.972
Algonquin, MD	38.583	-76.106
Annapolis, MD	38.978	-76.492
Arbutus, MD	39.255	-76.7
Arnold, MD	39.032	-76.503
Aspen Hill, MD	39.08	-77.073
Baltimore, MD	39.29	-76.612
Ballenger Creek, MD	39.373	-77.435
Beltsville, MD	39.035	-76.907
Bethesda, MD	38.981	-77.1
Bowie, MD	38.943	-76.73
Bowling Green, MD	39.624	-78.804
Brentwood, MD	38.943	-76.957
Brooklyn Park, MD	39.228	-76.616
Brunswick, MD	39.314	-77.628
Calverton, MD	39.058	-76.936
Cambridge, MD	38.563	-76.079
Camp Springs, MD	38.804	-76.907
Carney, MD	39.394	-76.524
Catonsville, MD	39.272	-76.732
Chester, MD	38.975	-76.289
Chillum, MD	38.964	-76.991
Cloverly, MD	39.108	-76.998
Clinton, MD	38.765	-76.898
Cockeysville, MD	39.481	-76.644
College Park, MD	38.981	-76.937
Columbia, MD	39.24	-76.839
Crofton, MD	39.002	-76.687
Cumberland, MD	39.653	-78.763
Damascus, MD	39.288	-77.204
Denton, MD	38.885	-75.827
Dundalk, MD	39.251	-76.521
East Riverdale, MD	38.962	-76.922
Easton, MD	38.774	-76.076
Edgewater, MD	38.957	-76.55
Edgewood, MD	39.419	-76.294
Eldersburg, MD	39.404	-76.95
Elkton, MD	39.607	-75.833
Elkridge, MD	39.213	-76.714
Ellicott City, MD	39.267	-76.798
Essex, MD	39.309	-76.475
Fairland, MD	39.076	-76.958
Ferndale, MD	39.183	-76.64
Fort Washington, MD	38.707	-77.023
Four Corners, MD	39.02	-77.013
Frederick, MD	39.414	-77.411
Gaithersburg, MD	39.143	-77.201
Germantown, MD	39.173	-77.272
Glassmanor, MD	38.819	-76.999
Glen Burnie, MD	39.163	-76.625
Green Haven, MD	39.14	-76.548
Green Valley, MD	39.309	-77.297
Greenbelt, MD	39.005	-76.876
Greensboro, MD	38.974	-75.805
Hagerstown, MD	39.642	-77.72
Highland, MD	39.179	-76.957
Hillcrest Heights, MD	38.833	-76.959
Hunt Valley, MD	39.5	-76.641
Hyattsville, MD	38.956	-76.946
Ilchester, MD	39.251	-76.765
Kettering, MD	38.885	-76.815
Lake Shore, MD	39.107	-76.485
Landover, MD	38.934	-76.897
Langley Park, MD	38.989	-76.981
Largo, MD	38.898	-76.83
Laurel, MD	39.099	-76.848
Lochearn, MD	39.341	-76.722
Long Beach, MD	38.461	-76.469
Manchester, MD	39.661	-76.885
Maryland City, MD	39.092	-76.818
Middle River, MD	39.334	-76.439
Middletown, MD	39.444	-77.545
Milford Mill, MD	39.348	-76.77
Montgomery Village, MD	39.177	-77.195
North Bel Air, MD	39.54	-76.355
North Bethesda, MD	39.045	-77.119
North Potomac, MD	39.083	-77.265
Oakland, MD	39.408	-79.407
Odenton, MD	39.084	-76.7
Olney, MD	39.153	-77.067
Owings Mills, MD	39.42	-76.78
Oxon Hill, MD	38.803	-76.99
Parkville, MD	39.377	-76.54
Parole, MD	38.98	-76.531
Pasadena, MD	39.107	-76.571
Perry Hall, MD	39.413	-76.464
Pikesville, MD	39.374	-76.722
Potomac, MD	39.018	-77.209
Randallstown, MD	39.367	-76.795
Redland, MD	39.145	-77.144
Reisterstown, MD	39.47	-76.829
Riverside, MD	39.474	-76.241
Riverside, MD	39.173	-76.885
Riviera Beach, MD	39.167	-76.508
Rockville, MD	39.084	-77.153
Rosedale, MD	39.32	-76.516
Rossville, MD	39.338	-76.48
Saint Charles, MD	38.603	-76.939
Salisbury, MD	38.361	-75.599
Savage, MD	39.138	-76.824
Seabrook, MD	38.968	-76.845
Severn, MD	39.137	-76.698
Severna Park, MD	39.07	-76.545
Silver Spring, MD	38.991	-77.026
Somerset, MD	38.966	-77.096
South Bel Air, MD	39.533	-76.337
South Gate, MD	39.129	-76.626
South Laurel, MD	39.07	-76.85
Springdale, MD	38.938	-76.839
Suitland, MD	38.849	-76.924
Takoma Park, MD	38.978	-77.007
Towson, MD	39.402	-76.602
University Park, MD	38.97	-76.942
Urbana, MD	39.326	-77.351
Waldorf, MD	38.625	-76.939
West Elkridge, MD	39.207	-76.727
Westminster, MD	39.575	-76.996
Wheaton, MD	39.04	-77.055
White Oak, MD	39.04	-76.993
Williamsport, MD	39.601	-77.821
Woodlawn, MD	39.323	-76.728
Woodlawn, MD	38.95	-76.891
Adrian, MO	38.398	-94.352
Affton, MO	38.551	-90.333
Albany, MO	39.223	-94.113
Alton, MO	36.694	-91.399
Anderson, MO	36.651	-94.444
Arnold, MO	38.433	-90.378
Ashland, MO	38.774	-92.257
Aurora, MO	36.971	-93.718
Ballwin, MO	38.595	-90.546
Belton, MO	38.812	-94.532
Benton, MO	37.098	-89.563
Berkeley, MO	38.755	-90.331
Billings, MO	37.068	-93.552
Bismarck, MO	37.769	-90.625
Bloomfield, MO	36.886	-89.929
Blue Springs, MO	39.017	-94.282
Bowling Green, MO	39.342	-91.195
Brentwood, MO	38.618	-90.349
Bridgeton, MO	38.767	-90.412
Brookfield, MO	39.784	-93.074
Buffalo, MO	37.644	-93.092
Campbell, MO	36.493	-90.075
Cape Girardeau, MO	37.306	-89.518
Carrollton, MO	39.358	-93.496
Cedar Hill, MO	38.353	-90.641
Centerville, MO	37.435	-90.958
Centralia, MO	39.21	-92.138
Charleston, MO	36.921	-89.351
Chesterfield, MO	38.663	-90.577
Chicopee, MO	36.985	-91.006
Clarksville, MO	39.371	-90.905
Clayton, MO	38.643	-90.324
Clinton, MO	38.369	-93.778
Columbia, MO	38.952	-92.334
Concord, MO	38.525	-90.357
Country Club Hills, MO	38.721	-90.275
Creve Coeur, MO	38.661	-90.423
Dixon, MO	37.992	-92.094
East Independence, MO	39.096	-94.355
Eureka, MO	38.503	-90.628
Farmington, MO	37.781	-90.422
Ferguson, MO	38.744	-90.305
Florissant, MO	38.789	-90.323
Gainesville, MO	36.603	-92.428
Gallatin, MO	39.914	-93.962
Garden City, MO	38.561	-94.191
Gladstone, MO	39.204	-94.555
Glendale, MO	38.596	-90.377
Grandview, MO	38.886	-94.533
Greenfield, MO	37.415	-93.841
Greenville, MO	37.127	-90.45
Greenwood, MO	38.852	-94.344
Hamilton, MO	39.744	-93.998
Hannibal, MO	39.708	-91.358
Hazelwood, MO	38.771	-90.371
Hermitage, MO	37.941	-93.316
Hillsboro, MO	38.232	-90.563
Holden, MO	38.714	-93.991
Hollister, MO	36.621	-93.215
Houston, MO	37.326	-91.956
Huntsville, MO	39.441	-92.545
Independence, MO	39.091	-94.416
Jackson, MO	37.382	-89.666
Jefferson City, MO	38.577	-92.174
Joplin, MO	37.084	-94.513
Kansas City, MO	39.1	-94.579
Kearney, MO	39.368	-94.362
Kingston, MO	39.644	-94.039
Kirkwood, MO	38.583	-90.407
Lebanon, MO	37.681	-92.664
Lee's Summit, MO	38.911	-94.382
Lemay, MO	38.533	-90.279
Lexington, MO	39.185	-93.88
Liberty, MO	39.246	-94.419
Lincoln, MO	38.391	-93.335
Macon, MO	39.742	-92.473
Malden, MO	36.557	-89.966
Manchester, MO	38.597	-90.509
Mansfield, MO	37.107	-92.581
Maplewood, MO	38.613	-90.325
Marlborough, MO	38.57	-90.337
Marshfield, MO	37.339	-92.907
Maryland Heights, MO	38.713	-90.43
Mehlville, MO	38.508	-90.323
Mount Vernon, MO	37.104	-93.819
Mountain View, MO	36.995	-91.704
Nixa, MO	37.043	-93.294
O'Fallon, MO	38.811	-90.7
Oak Grove, MO	39.005	-94.129
Oakland, MO	38.576	-90.386
Oakville, MO	38.47	-90.305
Odessa, MO	38.999	-93.954
Oregon, MO	39.987	-95.145
Overland, MO	38.701	-90.362
Ozark, MO	37.021	-93.206
Parkville, MO	39.195	-94.682
Pleasant Hill, MO	38.788	-94.269
Poplar Bluff, MO	36.757	-90.393
Raymore, MO	38.802	-94.453
Raytown, MO	39.009	-94.464
Richland, MO	37.857	-92.404
Richmond, MO	39.279	-93.977
Riverside, MO	38.287	-90.38
Riverside, MO	39.178	-94.613
Riverview, MO	38.276	-93.07
Riverview, MO	38.748	-90.212
Rock Hill, MO	38.608	-90.378
Rolla, MO	37.951	-91.771
Saint Charles, MO	38.784	-90.481
Saint George, MO	38.537	-90.315
Saint Joseph, MO	39.769	-94.847
St. Louis, MO	38.627	-90.198
Saint Paul, MO	38.861	-90.742
Saint Peters, MO	38.8	-90.627
Salem, MO	37.646	-91.536
Salisbury, MO	39.424	-92.802
Savannah, MO	39.942	-94.83
Sedalia, MO	38.704	-93.228
Seymour, MO	37.146	-92.769
Shelbyville, MO	39.806	-92.042
Shirley, MO	37.915	-90.919
Shrewsbury, MO	38.59	-90.337
Sikeston, MO	36.877	-89.588
Spanish Lake, MO	38.788	-90.216
Springfield, MO	37.215	-93.298
Stockton, MO	37.699	-93.796
Troy, MO	38.979	-90.981
Union, MO	38.45	-91.008
University City, MO	38.656	-90.309
Van Buren, MO	36.996	-91.015
Vandalia, MO	39.311	-91.488
Warrensburg, MO	38.763	-93.736
Washington, MO	38.558	-91.012
Webster Groves, MO	38.593	-90.357
Wentzville, MO	38.811	-90.853
Weston, MO	39.411	-94.902
Wildwood, MO	38.583	-90.663
Winchester, MO	38.59	-90.528
Windsor, MO	38.532	-93.522
Winona, MO	37.01	-91.323
Aberdeen, MS	33.825	-88.544
Ashland, MS	34.833	-89.176
Belmont, MS	31.569	-88.484
Belmont, MS	34.51	-88.209
Biloxi, MS	30.396	-88.885
Brandon, MS	32.273	-89.986
Brookhaven, MS	31.579	-90.441
Caledonia, MS	33.683	-88.324
Canton, MS	32.613	-90.037
Carrollton, MS	33.508	-89.92
Charleston, MS	34.007	-90.057
Clarksdale, MS	34.2	-90.571
Cleveland, MS	33.744	-90.725
Clinton, MS	32.342	-90.322
Collinsville, MS	32.498	-88.846
Columbus, MS	33.496	-88.427
Columbia, MS	31.252	-89.838
Corinth, MS	34.934	-88.522
Decatur, MS	32.439	-89.108
Dixon, MS	32.326	-90.253
Durant, MS	33.075	-89.855
Farmington, MS	34.93	-88.452
Florence, MS	32.153	-90.131
Gautier, MS	30.386	-88.612
Glendale, MS	31.365	-89.306
Greenville, MS	33.41	-91.062
Greenwood, MS	33.516	-90.18
Gulfport, MS	30.367	-89.093
Hattiesburg, MS	31.327	-89.29
Helena, MS	30.495	-88.496
Hillsboro, MS	32.459	-89.511
Holly Springs, MS	31.316	-89.978
Holly Springs, MS	34.768	-89.449
Horn Lake, MS	34.955	-90.035
Houston, MS	33.898	-88.999
Jackson, MS	32.299	-90.185
Laurel, MS	31.694	-89.131
Lexington, MS	33.113	-90.053
Liberty, MS	31.158	-90.812
Livingston, MS	32.553	-90.216
Long Beach, MS	30.35	-89.153
Louisville, MS	33.124	-89.055
Lumberton, MS	31.001	-89.452
Macon, MS	33.105	-88.561
Madison, MS	32.462	-90.115
Marion, MS	32.417	-88.648
Meridian, MS	32.364	-88.704
Moorhead, MS	33.45	-90.506
Morton, MS	32.354	-89.655
Natchez, MS	31.56	-91.403
New Albany, MS	34.494	-89.008
New Hope, MS	33.468	-88.327
Newton, MS	32.321	-89.163
Ocean Springs, MS	30.411	-88.828
Okolona, MS	34.002	-88.755
Olive Branch, MS	34.962	-89.83
Oxford, MS	34.367	-89.519
Pascagoula, MS	30.366	-88.556
Pearl, MS	32.275	-90.132
Pearl River, MS	32.783	-89.228
Philadelphia, MS	32.772	-89.117
Raleigh, MS	32.033	-89.522
Richland, MS	32.239	-90.158
Ridgeland, MS	32.428	-90.132
Rock Hill, MS	32.186	-89.922
Selma, MS	31.602	-91.279
Shelby, MS	33.951	-90.768
Southaven, MS	34.989	-90.013
Starkville, MS	33.45	-88.818
Summit, MS	31.284	-90.468
Taylorsville, MS	31.83	-89.428
Tupelo, MS	34.258	-88.703
Union, MS	32.572	-89.121
University, MS	34.366	-89.525
Vicksburg, MS	32.353	-90.878
West Gulfport, MS	30.404	-89.094
Wildwood, MS	34.268	-88.756
Winona, MS	33.482	-89.728
Aberdeen, NC	35.132	-79.429
Albemarle, NC	35.35	-80.2
Apex, NC	35.733	-78.85
Asheboro, NC	35.708	-79.814
Asheville, NC	35.601	-82.554
Belmont, NC	35.243	-81.037
Bethlehem, NC	35.826	-81.307
Boone, NC	36.217	-81.675
Brunswick, NC	34.287	-78.701
Burlington, NC	36.096	-79.438
Burnsville, NC	35.112	-80.245
Burnsville, NC	35.917	-82.301
Camden, NC	36.328	-76.172
Canton, NC	35.533	-82.837
Carrboro, NC	35.91	-79.075
Cary, NC	35.792	-78.781
Chapel Hill, NC	35.913	-79.056
Charlotte, NC	35.227	-80.843
Claremont, NC	35.715	-81.146
Clayton, NC	35.651	-78.456
Clemmons, NC	36.022	-80.382
Clinton, NC	34.998	-78.323
Columbia, NC	35.918	-76.252
Columbus, NC	35.253	-82.197
Concord, NC	35.409	-80.58
Concord, NC	35.88	-82.323
Cornelius, NC	35.487	-80.86
Dallas, NC	35.317	-81.176
Denton, NC	35.633	-80.116
Denver, NC	35.531	-81.03
Durham, NC	35.994	-78.899
Eden, NC	36.488	-79.767
Elizabeth City, NC	36.295	-76.251
Elizabethtown, NC	34.629	-78.605
Fayetteville, NC	35.053	-78.878
Franklin, NC	35.182	-83.382
Franklin, NC	35.721	-80.499
Fremont, NC	35.545	-77.975
Fuquay-Varina, NC	35.584	-78.8
Garner, NC	35.711	-78.614
Gastonia, NC	35.262	-81.187
Gatesville, NC	36.403	-76.753
Goldsboro, NC	35.385	-77.993
Graham, NC	36.069	-79.401
Greensboro, NC	36.073	-79.792
Greenville, NC	35.613	-77.366
Harrisburg, NC	35.324	-80.656
Havelock, NC	34.879	-76.901
Hayesville, NC	35.046	-83.818
Hays, NC	36.25	-81.116
Hazelwood, NC	35.469	-83.004
Henderson, NC	36.33	-78.399
Hendersonville, NC	35.319	-82.461
Hickory, NC	35.733	-81.341
High Point, NC	35.956	-80.005
Holly Springs, NC	35.651	-78.834
Hope Mills, NC	34.97	-78.945
Hudson, NC	35.848	-81.496
Huntersville, NC	35.411	-80.843
Indian Trail, NC	35.077	-80.669
Jackson, NC	36.39	-77.421
Jacksonville, NC	34.754	-77.43
Jamestown, NC	35.994	-79.935
Kannapolis, NC	35.487	-80.622
Kernersville, NC	36.12	-80.074
Kinston, NC	35.263	-77.582
La Grange, NC	35.307	-77.788
Laurinburg, NC	34.774	-79.463
Lenoir, NC	35.914	-81.539
Lexington, NC	35.824	-80.253
Liberty, NC	35.853	-79.572
Long Beach, NC	33.91	-78.118
Longview, NC	35.729	-81.383
Lowell, NC	35.268	-81.103
Lumberton, NC	34.618	-79.009
Madison, NC	36.385	-79.959
Marion, NC	35.684	-82.009
Matthews, NC	35.117	-80.724
Midland, NC	35.227	-80.501
Mint Hill, NC	35.18	-80.647
Monroe, NC	34.985	-80.55
Mooresville, NC	35.585	-80.81
Morganton, NC	35.745	-81.685
Morrisville, NC	35.823	-78.826
Mount Pleasant, NC	35.399	-80.436
Mountain View, NC	35.683	-81.369
Murfreesboro, NC	36.442	-77.099
Myrtle Grove, NC	34.135	-77.882
Nashville, NC	35.975	-77.966
New Bern, NC	35.108	-77.044
Newport, NC	34.787	-76.859
Newton, NC	35.67	-81.221
Norwood, NC	35.22	-80.119
Oak Park, NC	35.448	-82.508
Oak Ridge, NC	36.173	-79.989
Ogden, NC	34.272	-77.819
Olympia, NC	35.139	-76.971
Oxford, NC	36.311	-78.591
Pleasant Hill, NC	35.873	-79.482
Plymouth, NC	35.867	-76.749
Princeton, NC	35.466	-78.161
Raleigh, NC	35.772	-78.639
Roanoke Rapids, NC	36.462	-77.654
Rocky Mount, NC	35.938	-77.791
Salem, NC	35.699	-81.697
Salisbury, NC	35.671	-80.474
Sandy Springs, NC	35.333	-77.944
Sanford, NC	35.48	-79.18
Selma, NC	35.537	-78.284
Shelby, NC	35.292	-81.536
Silver Lake, NC	34.149	-77.914
Smithfield, NC	35.508	-78.339
Statesville, NC	35.783	-80.887
Taylorsville, NC	35.922	-81.176
Thomasville, NC	35.883	-80.082
Trenton, NC	35.067	-77.353
Troy, NC	35.358	-79.894
Wake Forest, NC	35.98	-78.51
Washington, NC	35.547	-77.052
Wesley Chapel, NC	35.007	-80.675
West Raleigh, NC	35.787	-78.664
Westport, NC	35.501	-80.979
White Plains, NC	35.234	-81.398
White Plains, NC	36.446	-80.633
Wilmington, NC	34.226	-77.945
Wilson, NC	35.721	-77.916
Windsor, NC	35.998	-76.946
Windsor, NC	35.553	-77.361
Winston-Salem, NC	36.1	-80.244
Ashland, NJ	39.863	-75.006
Atlantic City, NJ	39.364	-74.423
Barrington, NJ	39.865	-75.055
Bridgeton, NJ	39.427	-75.234
Camden, NJ	39.926	-75.12
Cherry Hill, NJ	39.935	-75.031
Clayton, NJ	39.66	-75.092
Folsom, NJ	39.602	-74.843
Glassboro, NJ	39.703	-75.112
Glendora, NJ	39.84	-75.074
Jackson, NJ	39.777	-74.862
Lindenwold, NJ	39.824	-74.998
Maple Shade, NJ	39.953	-74.992
Millville, NJ	39.402	-75.039
Mount Laurel, NJ	39.934	-74.891
Northfield, NJ	39.37	-74.55
Ocean Acres, NJ	39.743	-74.281
Pennsauken, NJ	39.956	-75.058
Pleasantville, NJ	39.39	-74.524
Pomona, NJ	39.478	-74.575
Salem, NJ	39.572	-75.467
South Vineland, NJ	39.446	-75.029
Springdale, NJ	39.903	-74.966
Toms River, NJ	39.954	-74.198
Vineland, NJ	39.486	-75.026
Wildwood, NJ	38.992	-74.815
Williamstown, NJ	39.686	-74.995
Woodbury, NJ	39.838	-75.153
Aberdeen, OH	38.656	-83.761
Athens, OH	39.329	-82.101
Baltimore, OH	39.845	-82.601
Batavia, OH	39.077	-84.177
Beavercreek, OH	39.709	-84.063
Beverly, OH	39.548	-81.64
Buffalo, OH	39.916	-81.52
Burlington, OH	38.407	-82.536
Caldwell, OH	39.748	-81.517
Camden, OH	39.629	-84.649
Carlisle, OH	39.582	-84.32
Centerville, OH	39.628	-84.159
Cincinnati, OH	39.162	-84.457
Clayton, OH	39.863	-84.36
Columbus, OH	39.961	-82.999
Dayton, OH	39.759	-84.192
Deer Park, OH	39.205	-84.395
Englewood, OH	39.878	-84.302
Ewing, OH	39.473	-82.433
Fairborn, OH	39.821	-84.019
Fairfield, OH	39.346	-84.561
Forest Park, OH	39.29	-84.504
Frankfort, OH	39.401	-83.181
Franklin, OH	39.559	-84.304
Geneva, OH	39.662	-82.433
Georgetown, OH	38.865	-83.904
Georgetown, OH	39.968	-81.884
Germantown, OH	39.626	-84.369
Glendale, OH	39.271	-84.459
Grandview, OH	39.194	-84.724
Greenfield, OH	39.352	-83.383
Grove City, OH	39.881	-83.093
Hamilton, OH	39.4	-84.561
Harrison, OH	39.262	-84.82
Hillsboro, OH	39.202	-83.612
Huber Heights, OH	39.844	-84.125
Jackson, OH	39.052	-82.637
Jamestown, OH	39.658	-83.735
Jeffersonville, OH	39.654	-83.564
Kettering, OH	39.689	-84.169
Kingston, OH	39.474	-82.911
Lancaster, OH	39.714	-82.599
Lebanon, OH	39.435	-84.203
Leesburg, OH	39.345	-83.553
Logan, OH	39.54	-82.407
Loveland, OH	39.269	-84.264
Manchester, OH	38.688	-83.609
Marietta, OH	39.415	-81.455
Mason, OH	39.36	-84.31
Miamisburg, OH	39.643	-84.287
Middletown, OH	39.515	-84.398
Milford, OH	39.175	-84.294
Monroe, OH	39.44	-84.362
Montgomery, OH	39.228	-84.354
Newport, OH	39.391	-81.227
Northbrook, OH	39.246	-84.584
Northridge, OH	39.992	-83.779
Northridge, OH	39.808	-84.197
Norwood, OH	39.156	-84.46
Oak Hill, OH	38.894	-82.574
Oxford, OH	39.507	-84.745
Pickerington, OH	39.884	-82.754
Pleasant Grove, OH	39.952	-81.959
Portsmouth, OH	38.732	-82.998
Reading, OH	39.224	-84.442
Reno, OH	39.373	-81.396
Reynoldsburg, OH	39.955	-82.812
Riverside, OH	39.78	-84.124
Rosemount, OH	38.786	-82.979
Roseville, OH	39.807	-82.071
Sherwood, OH	39.085	-84.361
Somerset, OH	39.807	-82.297
Springboro, OH	39.552	-84.233
Springdale, OH	39.287	-84.485
Springfield, OH	39.924	-83.809
Trenton, OH	39.481	-84.458
Trotwood, OH	39.797	-84.311
Union, OH	39.898	-84.306
Upper Arlington, OH	39.995	-83.062
Vandalia, OH	39.891	-84.199
Waterloo, OH	39.84	-82.785
Waverly, OH	39.127	-82.985
White Oak, OH	39.213	-84.599
Whitehall, OH	39.967	-82.885
Williamsport, OH	39.586	-83.12
Wilmington, OH	39.445	-83.829
Winchester, OH	38.942	-83.651
Woodlawn, OH	39.252	-84.47
Wyoming, OH	39.231	-84.466
Xenia, OH	39.685	-83.93
Zanesville, OH	39.94	-82.013
Ada, OK	34.775	-96.678
Altus, OK	34.638	-99.334
Ardmore, OK	34.174	-97.144
Bartlesville, OK	36.747	-95.981
Bethany, OK	35.519	-97.632
Bixby, OK	35.942	-95.883
Broken Arrow, OK	36.053	-95.791
Buffalo, OK	36.836	-99.63
Chandler, OK	35.702	-96.881
Chelsea, OK	36.536	-95.432
Cheyenne, OK	35.614	-99.671
Chickasha, OK	35.053	-97.936
Claremore, OK	36.313	-95.616
Cleveland, OK	36.31	-96.464
Clinton, OK	35.516	-98.967
Collinsville, OK	36.365	-95.839
Davis, OK	34.505	-97.119
Del City, OK	35.442	-97.441
Duncan, OK	34.502	-97.958
Durant, OK	33.994	-96.371
Edmond, OK	35.653	-97.478
El Reno, OK	35.532	-97.955
Elgin, OK	34.78	-98.292
Enid, OK	36.396	-97.878
Fairland, OK	36.751	-94.847
Frederick, OK	34.392	-99.018
Helena, OK	36.546	-98.27
Hobart, OK	35.029	-99.093
Jenks, OK	36.023	-95.968
Kingston, OK	33.999	-96.72
Lafayette, OK	35.174	-95.104
Lawton, OK	34.609	-98.39
Lexington, OK	35.015	-97.336
Marietta, OK	33.937	-97.117
McAlester, OK	34.933	-95.77
Medford, OK	36.807	-97.734
Meridian, OK	34.427	-97.978
Miami, OK	36.875	-94.877
Midwest City, OK	35.45	-97.397
Moore, OK	35.34	-97.487
Muskogee, OK	35.748	-95.37
Mustang, OK	35.384	-97.724
Norman, OK	35.223	-97.439
